,canceled_departure_list,canceled_arrival_list,canceled_flight_codes_list
0,EVN,SHJ,G9244
1,SHJ,EVN,G9245
2,VIE,SOF,FB410
3,SOF,VIE,FB409
4,VIE,SHJ,G9574
5,SHJ,VIE,G9573
6,GYD,SHJ,G9302
7,GYD,SHJ,G9303
8,GYD,SHJ,G9306
9,SHJ,GYD,G9301
10,SHJ,GYD,G9304
11,SHJ,GYD,G9305
12,BRU,RAK,FR5237
13,RAK,BRU,FR5238
14,ORD,BRU,UA2841
15,LOS,BRU,ET3915
16,SJJ,SHJ,G9312
17,SJJ,SHJ,G9313
18,SHJ,SJJ,G9311
19,SHJ,SJJ,G9314
20,SOF,VIE,FB409
21,VIE,SOF,FB410
22,SOF,BUD,W62472
23,DBV,MUC,OU4432
24,MUC,DBV,OU4433
25,ZAG,SPU,OU654
26,ZAG,SPU,OU654
27,LCA,SCV,W64567
28,SCV,LCA,W64568
29,CPH,HEL,AY8921
30,CPH,HEL,AY954
31,CPH,HEL,AY8921
32,CPH,HEL,AY954
33,CPH,HEL,AY8921
34,CPH,HEL,AY8921
35,MRS,RUN,UU946
36,RUN,MRS,UU945
37,MPL,RAK,TO4504
38,RAK,MPL,TO4505
39,NTE,RAK,TO4608
40,BOG,CDG,AF429
41,FIH,CDG,AF716
42,BZV,FIH,AF716
43,CDG,BZV,AF716
44,BKO,CDG,AF521
45,CDG,HKG,AF188
46,CDG,DUB,AF1616
47,DUB,CDG,AF1617
48,HND,CDG,JL45
49,BKO,CDG,AF521
50,CDG,CMN,AF1496
51,CDG,CMN,AF1596
52,CMN,CDG,AF1597
53,CDG,RAK,AF1076
54,CDG,RAK,AF1276
55,RAK,CDG,AF1077
56,CDG,RBA,AF1358
57,CDG,RBA,AF1458
58,RBA,CDG,AF1459
59,DOH,CDG,QR41
60,CMB,CDG,UL563
61,SFO,ORY,BF711
62,TBS,WAW,LO8530
63,WAW,TBS,LO8529
64,TBS,SHJ,G9292
65,TBS,SHJ,G9293
66,SHJ,TBS,G9291
67,SHJ,TBS,G9294
68,CGN,HAM,EW7039
69,HAM,CGN,EW7038
70,HAM,FRA,LH29
71,FRA,HND,NH224
72,HND,FRA,NH223
73,FRA,NRT,JL408
74,NRT,FRA,JL407
75,FRA,ORD,LH8188
76,FDH,HRG,XR592
77,HRG,FDH,XR591
78,HHN,KIV,5F638
79,KIV,HHN,5F637
80,FEZ,HHN,FR5703
81,HAM,CGN,EW7038
82,CGN,HAM,EW7039
83,HAM,FRA,LH29
84,HAM,STR,EW2037
85,MUC,DBV,OU4433
86,DBV,MUC,OU4432
87,MXP,MUC,LH1855
88,HAM,STR,EW2037
89,DOH,ATH,QR397
90,SOF,BUD,W62472
91,BUD,OTP,RO238
92,ADD,DUB,ET552
93,DUB,CDG,AF1617
94,CDG,DUB,AF1616
95,DUB,LHR,EI168
96,MXP,MUC,LH1855
97,DOH,FCO,QR115
98,ALA,SCO,DV731
99,ALA,UKK,KC303
100,UKK,ALA,KC304
101,KIV,HHN,5F637
102,HHN,KIV,5F638
103,ZRH,TIV,2L8164
104,AMS,PVG,CK206
105,AMS,PVG,MU772
106,XMN,AMS,MF811
107,AMS,OSL,EK9752
108,DXB,AMS,EK9752
109,AMS,SVO,RU536
110,SVO,AMS,RU525
111,AMS,TPE,KL807
112,TPE,AMS,KL808
113,AMS,OSL,EK9752
114,DXB,AMS,EK9752
115,ATL,AMS,DL74
116,BOS,AMS,DL258
117,AMS,JFK,DL9358
118,AMS,OSL,EK9752
119,DXB,AMS,EK9752
120,AMS,OSL,EK9752
121,DXB,AMS,EK9752
122,WAW,TBS,LO8529
123,TBS,WAW,LO8530
124,PKX,XIY,JD429
125,LIS,GVA,LX2097
126,GVA,LIS,LX2096
127,BUD,OTP,RO238
128,DXB,OTP,FZ1797
129,DME,IJK,I8306
130,DME,IJK,I8312
131,DME,NUX,S72575
132,NUX,DME,S72576
133,DME,SHJ,G9958
134,SHJ,DME,G9957
135,SVO,HND,JL40
136,HND,SVO,JL49
137,SVO,AMS,RU525
138,AMS,SVO,RU536
139,SVO,VOZ,SU1352
140,LED,SIP,WZ781
141,SIP,LED,WZ782
142,PTY,MAD,IB6346
143,ARN,SDL,W27309
144,SDL,ARN,W27308
145,GVA,CAI,MS772
146,CAI,GVA,MS771
147,GVA,LIS,LX2096
148,LIS,GVA,LX2097
149,ZRH,TIV,2L8164
150,IST,ESB,TK2146
151,IST,IKA,W5113
152,IKA,IST,W5112
153,IST,KWI,J9302
154,KWI,IST,J9301
155,MRA,IST,8U974
156,IST,MJI,8U971
157,IST,MJI,8U971
158,IST,MJI,LN193
159,IST,MJI,YL101
160,MJI,IST,LN192
161,IST,MCT,WY166
162,MCT,IST,WY165
163,IST,DYU,SZ104
164,DYU,IST,SZ103
165,IST,ESB,TK2146
166,SAW,SHJ,G9284
167,SAW,SHJ,G9286
168,SHJ,SAW,G9283
169,SHJ,SAW,G9285
170,TZX,SHJ,G9352
171,TZX,SHJ,G9354
172,TZX,SHJ,G9356
173,SHJ,TZX,G9351
174,SHJ,TZX,G9353
175,SHJ,TZX,G9355
176,KBP,SHJ,G9261
177,SHJ,KBP,G9260
178,DUB,LHR,EI168
179,LHR,HND,BA5
180,LHR,HND,JL42
181,HND,LHR,JL41
182,LHR,SFO,BA287
